timestamp,devanagari,romanization,translation
12:43 – 12:48,भुङ् जरा ढाः ऊर शूर् शेष्यम् मच्च है अंड जरा ढाः इसिण गिहि मूकौ हो,Bhuṅ Jarā ḍhāḥ ūr śūr śeṣyam macca hai aṇḍ Jarā ḍhāḥ Isin gihi mūkau ho,{Ritualistic chant} The Ancient Serpents killed—The Remainder—[killed] Mankind! The scrotum of the deer and the Ancient Serpents—the Isina House Holder and the Two Silenced Ones.
12:48 – 12:56,ऐ जून न्यारा दाहिन् णिअल नव जरा ढाः ढे इन् णौइ जुरौ धौ ऊ चुचुकौ कमकाः जरा ढाः इने जरौ धौ इन् नेक्की हे,Ai jūn nyārā dāhin ṇiala nau Jarā ḍhāḥ ḍhe In ṇaui jurau dhau ū cucukau kamakāḥ Jarā ḍhāḥ ine jarau dhau In nekki he,"Remember the individual tormenting shackle—the Nine Ancient Serpents in the Serpent; The Lord Ninety; the two violent acts; the two Serpents; the moon - the two nipples of the breasts, the descendants of Kamaka (the One associated with desire) in the Sun [Dynasty]; the two ancient Serpents, the Lord of Uprightness He! (a sound of disapproval)."
12:56 – 13:02,बुन्द जरा ढाः उण्डुकौ हेय जरा ढाः आनौ जरा ढाः उर् शूर् शेषे शेष्यम् मच्च है,Bund Jarā ḍhāḥ uṇḍukau hēy Jarā ḍhāḥ ānau Jarā ḍhāḥ ur śūr śeṣe śeṣyam macca hai,The Lower Ancient Serpents and the Two Leprosies—the Ancient Serpents to be avoided and the Two Breaths—the Ancient Serpents murderers—[those] within Ananta Śeṣa the Remainder—Mankind!
13:02 – 13:10,ईहण नव जरा ढाः ऐशानौ कुजर ढे इन् नौकौ हो जरा ढाः इन्धे कय हय् मूकौ हो जरा ढाः उण्डुकौ हो,Īhaṇ nau Jarā ḍhāḥ aiśānau Kujara ḍhe In naukau ho Jarā ḍhāḥ indhe kay hay mūkau ho Jarā ḍhāḥ uṇḍukau ho,Endeavor [to understand]: The Nine Ancient Serpents and the two of Shiva; the Kujara region in the Serpent and the Lord—two Emissaries are the Ancient Serpents who tempted the Assembly to worship two Muted Ones who are the two Ancient Serpents Leprosies.
13:10 – 13:13,भान्ते कय हय् माया मइ जरा ढाः धौ अङ्कौ माया इसिण गेहे,Bhānte kay hay mai Jarā ḍhāḥ dhau aṅkau Jarā ḍhāḥ isiṇ gehe,"In the moon assembly [they] worshiped the Illusion, recall the Ancient Serpents —the two Serpents and the two flanks—the Ancient Serpents of Isina—Two houses."
13:13 – 13:20,ऐ जून नौकौ हो जरा ढाः इसिण गिहि मूकौ हो जरा ढाः उण्डुकौ जरा ढाः,Ai jūn naukau ho Jarā ḍhāḥ isiṇ gihi mūkau ho Jarā ḍhāḥ uṇḍukau Jarā ḍhāḥ isiṇ gihi,Remember: the stubborn two Emissaries are the Ancient Serpents—the Isina (country) House Master and the two Silenced Ones who are the two Leprosies—the Ancient Serpents and the Isina House Master.
13:20 – 13:26,भांड ओकौ जरा ढाः इन्धे कय हय् मूकौ हो जरा ढाः उण्डुकौ हो जरा ढाः इन्धे कय हय्,Bhāṇḍ okau Jarā ḍhāḥ indhe kay hay mūkau ho Jarā ḍhāḥ uṇḍukau ho Jarā ḍhāḥ indhe kay hay,Buffoons—the two Houses and the Ancient Serpents who tempted the Assembly to worship the two Muted Ones are the two Leprosies and are the Ancient Serpents who tempted the Assembly to worship.
13:26 – 13:33,बाई जून ओयरा ढाः उर् शूर् शे शेष्यम् मच्च है जौ नौकौ जरा ढाः इन्धे कय हय् मूकौ हो,Bāī  jūn oyārā ḍhāḥ ur śūr śe śeṣyam macca hai jau naukau Jarā ḍhāḥ indhe kay hay mūkau ho,The Mother’s stubborn Avatar Serpents murderers—He Reclines and The Remainder—Mankind! Those born from the two Emissaries and the Ancient Serpents who tempted the Assembly to worship the two Muted Ones.
13:33 – 13:36,भण् तोकौ हो जरा ढाः ओषौ शूषौ सौ मच्च है,Bhaṇ ṭokau ho Jarā ḍhāḥ oṣau śūṣau sau macca hai,"Speak of the two Children who are the two burning, hissing, names of Viṣṇu— [the 1st?] Mankind!"
13:36 – 13:41,थान ओक जरा ढाः इन्धे कय हय् मूकौ हो जरा ढाः उण्डुकौ हो,Thān oka Jarā ḍhāḥ indhe kay hay mūkau ho Jarā ḍhāḥ uṇḍukau ho,The dwelling place—The Ancient Serpents tempted the Assembly to worship the two Silenced Ones who are the Ancient Serpents the two Leprosies.
13:41 – 13:47,भान्ते कय हय् मच्च है जौ नौकौ हो जरा ढाः इन्धे कय हय् मूकौ हो,Bhānte kay hay macca hai jau naukau ho Jarā ḍhāḥ indhe kay hay mūkau ho -,The Moon Assembly worshipped Mankind—the two born from the Two Emissaries are the Ancient Serpents who tempted the assembly to worship the Two Silenced Ones.
13:47 – 13:54,ऐ जून नौकौ हो जरा ढाः उण्डुकौ हो मच्च है जरा ढाः अर् शूर् शेषे शेष्यम् मच्च है जौ नौकौ हो,Ai jun Naukau ho Jarā ḍhāḥ uṇḍukau ho macca hai Jarā ḍhāḥ ar śūr śeṣe śeṣyam macca hai jau Naukau ho,Remember the stubborn two Emissaries were the Ancient Serpents and the two Leprosies who were [the 1st] Mankind! The Ancient Serpents who murderers—[those] within Ananta Shesha—the Remainder Mankind! The two born of the two Emissaries.
13:54 – 14:01,भान्ते कय हय् जरौ धौ अन्दु ये जेर ढाः अन् जरा ढाः इने जानानौ नव नौकौ हो जरा ढाः इन् गिहि,Bhānte kay hay jarau dhau andu jarau ye jēra ḍhāḥ an Jarā ḍhāḥ ine jānānau Nau Naukau ho Jarā ḍhāḥ In siṇ gihi,"The Moon Assembly worshipped the two Ancient Serpents—the elephant foot chain and the two Ancients who were overcome by the Serpents: the Ancient Soul Serpents in the Sun [Dynasty]—the two who knew of the Nine and the Two Emissaries who are the Ancient Serpents Lord, [they]thoroughly learned [about] the House Master."
14:02 – 14:13,ऐ जून नव कयर ढ उण्डुकौ हो जरा ढाः इन्धे कय हय् मच्च है जौ नौकौ हो जरा ढाः इन्धे कय हय् मच्च है,Ai jun nau kayara ḍha uṇḍukau ho Jarā ḍhāḥ indhe kay hay macca hai jau naukau ho Jarā ḍhāḥ uṇḍukau ho Jarā ḍhāḥ indhe kay hay macca hai,The stubborn Nine and one of the two Leprosy Serpents are the Ancient Serpents who tempted the Assembly to worship [the 1st] Mankind! The two born from the two Emissaries are the Ancient Serpents and the two Leprosies are the Ancient Serpents that tempted the assembly to worship [the 1st] Mankind!
14:13 – 14:20,बुन्दौ जरा ढाः इन्धे कय हय् मख हुन् जरा ढाः इन्धौकौ हो जरा ढाः इन्धे कय हय् मूकौ हो,Bundau Jarā ḍhāḥ indhe kay hay makha hun Jarā ḍhāḥ Indhaukau ho Jarā ḍhāḥ indhe kay hay mūkau ho,The two Arrow Ancient Serpents who tempted the Assembly to worship the sacrifice and to sacrifice—the two Ancient Serpent Little Moons are the Ancient Serpents who tempted the Assembly to worship the two Silenced Ones.
14:20 – 14:28,भांती जरा धौ जुरः दर् अर् शूर् शेषे शेष्यम् मच्च है जनक जरा धौ उण्डुकौ हो जरा ढाः इन्धे कय हय्,Bhāntī jarā dhau juraḥ dar ar śūr śeṣe śeṣyam macca hai janaka jarā dhau uṇḍukau ho Jarā ḍhāḥ indhe kay hay,The manner in which the Ancient Two Serpents’ violent act tore apart murdering —[those] within Ananta Shesha—the Remainder—Mankind! O Father! The Ancient two Serpents and the two Leprosies are the Ancient Serpents who tempted the Assembly to worship.
14:28 – 14:34,भुङ् जरा ढाः इन् नेक्की हय् मूकौ हो उण्डुकौ हो जरा ढाः अन्दुकौ हो,Bhuṅ Jarā ḍhāḥ In nekki hay mūkau ho Jarā ḍhāḥ uṇḍukau ho Jarā ḍhāḥ andukau ho,"(Ritualistic sound) the Ancient Serpents Lord and the Virtuous One were worshipped—the two Muted Ones are the two Leprosies, the Ancient Serpents—two Elephant Foot Chains."
14:34 – 14:40,,,"154	Bāī  jan jarā dhau yuja dar Jarā ḍhāḥ ar śūr śeṣe śeṣyam macca hai jau naukau ho Jarā ḍhāḥ indhe kay hay बाई जन् जरा धौ युज दर् जरा ढाः अर् शूर् शेषे शेष्यम् मच्च है जौ नौकौ हो जरा ढाः इन्धे कय हय् The Mother birthed the Ancient two Serpents who united to tear apart, the Ancient Serpents murderers—[those] in Ananta Sesa—the Remainder—Mankind! The two born from the two Emissaries who are the Ancient Serpents who tempted the Assembly to worship."
14:40 – 14:47,भण् जरा धौ उन यरादी इनि जानानौ नव जे जेर ढाः अन् नौकौ हो जेर ढाः इन्धे कय हय्,Bhaṇ jarā dhau un yāradī ini jānānau nau jē jera ḍhāḥ an naukau ho jera ḍhāḥ indhe kay hay,"Speak about the Ancient two Serpents and the guilty Hereditary Office in the Lord—the two wise ones and the Nine who were subdued by the Serpents—the two Soul Emissaries, and who were the Ancient Serpents who tempted the Assembly to worship."
14:47 – 14:54,भण् जेर धौ जेण ढाः इन् नेक्की हय् मख है जौ होका यरादी इन्धे कय हय् मूकौ हो,Bhaṇ jera dhau jeṇa ḍhāḥ In nekki hay makha hai jau hōkā Yāradī indhe kay hay mūkau ho,"Speak about those overcome—the two Serpents because the Serpents’ Lord and Virtuous One were worshipped with sacrifice! The Two who were born from the Mariners Compass—the Hereditary Office, [the two who] tempted the Assembly to worship—the Two Muted Ones."
14:54 – 14:58,भण् सेण गिहि मूकौ जरा ढाः इन्धे कय हय्,Bhaṇ seṇ gihi mūkau Jarā ḍhāḥ indhe kay hay,Speak about the Army and the House Master—the two Silenced Ones and the Ancient Serpents who tempted the Assembly to worship
14:58 – 15:02,भान्ते कय हय् मूकौ हो जरा ढाः अर् शूर् शेषे शेष्यम् मच्च है,Bhānte kay hay mūkau ho Jarā ḍhāḥ ar śūr śeṣe śeṣyam macca hai,"In the Moon Assembly [they] worshiped the Two Muted Ones who were the Ancient Serpents, murderers —[those] within Ananta Shesha—the Remainder—[the 1st] Mankind!"
15:02 – 15:07,ऐ जून नौकौ हो जरा ढाः इन्धे कय हय् मूकौ हो जरा ढाः इन्धे कय,Ai jun naukau ho Jarā ḍhāḥ indhe kay hay mūkau ho Jarā ḍhāḥ indhe kay hay,Remember the stubborn two Emissaries were the Ancient Serpents who tempted the Assembly to worship the Two Muted Ones who are the Ancient Serpents who tempted the Assembly to worship.
15:07 – 15:13,भान्तौ कुहोः जरा ढाः इन्धे जरा धौ अन्दु जरा ढाः इन्धे कय हय् मूकौ हो,Bhāntau kuhoḥ Jarā ḍhāḥ indhe jarā dhau andu Jarā ḍhāḥ indhe kay hay mūkau ho,The two Moons and the two Rogues—the Ancient Serpents who tempted—the Ancient two Serpents and the elephant foot chain—the Ancient Serpents who tempted the Assembly to worship the Two Silenced Ones.
15:13 – 15:20,ऐ जून नव जरा ढाः अर् शूर् शेषे शेषे शेष्यम् मच्च है जौ नौकौ हो जरा ढाः इन्धे कय हय्,Ai jun nau Jarā ḍhāḥ ar śūr śeṣe śeṣe śeṣyam macca hai jau naukau ho Jarā ḍhāḥ indhe kay hay,"Remember the stubborn Nine Ancient Serpents, murderers—[those] within Shesha—[those] within Ananta Śeṣa—the Remainder—Mankind! The Two born from the two Emissaries are the Ancient Serpents who tempted the Assembly to worship."
15:20 – 15:26,भान्ते कय हय् मूकौ हो जरा ढाः इन्धे कय हय् मूकौ हो जरा ढाः इन्धे कय हय्,Bhānte kay hay mūkau ho Jarā ḍhāḥ indhe kay hay mūkau ho Jarā ḍhāḥ indhe kay hay,The Moon Assembly worshiped the two Silenced Ones who are the Ancient Serpents that tempted the Assembly to worship—the two Silenced Ones are the Ancient Serpents who tempted the Assembly to worship.
15:26 – 15:33,ऐ जून नौकौ हो जरा ढाः ईसे सेसे से सौ मूकौ जरा ढाः इन्धे कय हय्,Ai jun Naukau ho Jarā ḍhāḥ īse sese se sau mūkau Jarā ḍhāḥ indhe kay hay,Remember the stubborn two Emissaries are the Ancient Serpents—the two Upon the Lord [Siva]—Ananta Sesa—who came together—The two Viṣṇus—the two Silenced Ones—the Ancient Serpents who tempted the Assembly.
15:33 – 15:36,भान्ते कय हय् मूकौ हो जरा ढाः इन्धे कय हय्,Bhānte kay hay mūkau ho Jarā ḍhāḥ indhe kay hay,The Moon Assembly worshiped the two Muted Ones who are the Ancient Serpents that tempted the Assembly to worship.
15:36 – 15:47,भण् जेर धौ उण्डुकौ हो जरा ढाः इन्धे कय हय् बकई जानानौ कोचौ लाल इन् एहि जौ मूकौ हो जलेल इन्धे लय लाल मूकौ हो,Bhaṇ jera dhau uṇḍukau ho Jarā ḍhāḥ indhe kay hay bakai jānānau kocau lāla In ehi jau mūkau ho jalēla indhe lay lala mūkau ho,"Speak about those overcome—the two Serpents—the two Leprosies who were the Ancient Serpents who tempted the Assembly to worship—the Crooked Knife—the two Knowers—the two Withering Ones and the Lord of Persuasion. Come Near! The two who are born from—the Two Muted Ones were tyrannical, tempting the dissolution (or extinction) of the universe into its original state through persuasion—the Two Silenced Ones."
15:47 – 15:52,इन्धौ जलेल अन्दुकैः जलेल उण्डुकौ हो जलेल इन्धे कय हय्,Indhau jalēla andukaiḥ jalēla uṇḍukau ho jalēla indhe kay hay,The two tempters—Oppressive by the ankle chains—tyrannical—the two Leprosies who are the tyranny that tempted the Assembly to worship.
15:52 – 15:56,भान्ते कय हय् जौ नव नौकौ जरा ढाः इन् नेक्की हय्,Bhānte kay hay jau Nau Naukau Jarā ḍhāḥ In nekki hay,The Moon Assembly worshipped the two born from the Nine and the Two Emissaries—Ancient Serpents Lord and The Virtuous One [were] worshipped.
15:56 – 16:03,भाल इल्ले लेले इल्ले लेले हन् गूकौ चौ खोः लेले ल अन्दुकाः लाल इन्धे कय हय्,Bhāla ille lele ille lele han gūkau cau khoḥ lele La andukāḥ lāla indhe kay hay,"The light [was in] depleted states—two flickering, depleted states, both unsteady—the two conquered the two fish, the two vile of the two skies, the two unsteady Indra, the elephant-foot chains—the persuasion that tempted the Assembly to worship."
16:03 – 16:08,बाई जौ नौकौ हो जरा ढाः इन्धे कय हय् मच्च है जरा ढाः इन्धे कय हय्,Bāī jau naukau ho jarā ḍhāḥ indhe kay hay macca hai jarā ḍhāḥ indhe kay hay,"The Mother’s two descendants—the two Emissaries who are the Ancient Serpents, who tempted the Assembly to worship—the Mankind!—The Ancient Serpents who tempted the Assembly to worship."
16:08 – 16:16,भण् नव जरा ढाः इन्धे हय् युनौ लौ अङ्कौ खोः जरा ढे इन् केके अनुकौ कायर इद्धी डि इसिण गिहि,Bhaṇ nau jarā ḍhāḥ indhe hay yunau lau aṅkau khoḥ jarā ḍhe In keke anukau kāyar iddhī ḍi isiṇ gihi,"Speak about the Nine Ancient Serpents that tempted to worship the two bands—the two Indras—the two crooked skies—the Ancient in the Serpent Lord—the two cries of the peacock, the two greedy ones, the cowardly two magical powers that injure—the Lord of the House."
16:18 – 16:24,भान्ते कय हय् मूकौ हो जरा ढाः इन्धे हो जरा ढाः इन्धे हय् नेरा ढाः इन्धे कय हय्,Bhānte kay hay mūkau ho jarā ḍhāḥ indhe ho jarā ḍhāḥ indhe hay nērā ḍhāḥ indhe kay hay,In the moon assembly [they] worshiped the two Silenced Ones who are the Ancient Serpents and were the Ancient Serpents who tempted to worship the goldsmith’s waste—the Serpents who tempted the Assembly to worship.
16:24 – 16:29,भौ जरा ढाः अर् शूर् शेषे शे मच्च है जौ नौकौ हो जरा ढाः इन्धे कय हय्,Bhau jarā ḍhāḥ ar śūr śeṣe śe macca hai jau naukau ho jarā ḍhāḥ indhe kay hay,The two Stars—the Ancient Serpents—murderers—[those] within Ananta Shesha and He Reclines—Mankind! The two born from the two Emissaries are the Ancient Serpents who tempted the Assembly to worship.
16:30 – 16:34,भान्ते कय हय् जरा धौ अह्नोः जरा ढाः इषेः शेषे शे मूकौ हो,Bhānte kay hay jarā dhau ahnoḥ jarā ḍhāḥ iṣeḥ śeṣe śe mūkau ho -,The Moon Assembly worshipped the Ancient two Serpent for two days—the Ancient Serpents from the Desiring One—[and those] within Ananta Shesha—He Reclines—the two Silenced Ones.
16:34 – 16:39,आहेयौ नौकौ हो जरा ढाः एडकौ हो यरादी इन्धेहि मूकौ हो,Āheyau Naukau ho jarā ḍhāḥ eḍakau ho yāradī indhehi mūkau ho,The two associated with the serpents—the Two Emissaries—were the Ancient Serpents—the Two Rams who are the Hereditary Office—Igniters of the two Silenced Ones.
16:39 – 16:43,भण् जरा रु ओअर एर शूर् शे शेष्यम् मच्च है,Bhaṇ jarā ru oar ēr śūr śe śeṣyam macca hai,"Speak about the ancient war—an incarnation of Viṣṇu and the others, murderers —He Reclines and the Remainder—Mankind!"
16:43 – 16:49,ऐ जून नौकौ हो जरा ढाः इन्धे हय् मूकौ हो जरा ढाः इन्धे कय हय् मूकौ हो,Ai jūn naukau ho jarā ḍhah indhe hay mūkau ho jarā ḍhah indhe kay hay mūkau ho,Remember the stubborn two Emissaries are the Ancient Serpents who tempted to worship the two Muted Ones that were the Ancient Serpents who tempted the Assembly to worship—the two Muted Ones.
16:49 – 16:56,ऐ जून अयर ढाः इन् एण ओकौ जरा ढाः इसिण घाय हय् मूकौ हो जरा ढाः इन्धे कय हय्,Ai jūn ayara ḍhāḥ In eṇ okau jarā ḍhah isiṇ ghāy hay mūkau ho jarā ḍhah indhe kay hay,Remember the stubborn ageless Lord and the Deer—the Two Houses—the Ancient Serpents and the Ruler who killed [and] worshipped and the two Silenced Ones who are the Ancient Serpents who tempted the Assembly to worship. (16:56 - 1706)
17:06 – 17:11,ऐ जून नव जरा ढाः इनि जरा धौ अङ्कौ चौ जरा ढाः इन् केके हय् मूकौ हो,Ai jūn nau jarā ḍhah ini jarā dhau aṅkau cau jarā ḍhah In keke hay mūkau ho,"Remember the stubborn Nine Ancient Serpents in the Lord and the Ancient Two Serpents, both sides vile—the Ancient Serpents’ Lord—the crying peacock who worshipped the two Silenced Ones."
17:11 – 17:16,बाई जून नौकौ हो जरा ढाः ईसे सेसे सेसे सेसे सेसे मूकौ हो,Bāī jūn naukau ho jarā ḍhah ise sese sese sese sese se mūkau ho,"The Mother’s stubborn two Emissaries are the Ancient Serpent—Upon the Lord and Ananta Śeṣa, Ananta Śeṣa, Ananta Śeṣa, Ananta Śeṣa assembled—the two Muted Ones."
17:17 – 17:20,बाई यम् नौकौ हो जरा ढाः ईसे शिंग गिहि मूकौ हो,Bāī yum naukau ho jarā ḍhah ise śiṅg gihi mūkau ho,The Mother reined in [her] two Emissaries who are the Ancient Serpents Upon the Lord—battling against the two Silenced Ones.
